Variable;Lower;Min;Best;Max;Upper;bestguess;bounds;direction;is.problem;OD;RD;A50;A25;A12.5;A0
total.water.footprint;;;;;;;;;;total.green.footprint+total.blue.footprint;total.green.footprint+total.blue.footprint;total.green.footprint+total.blue.footprint;total.green.footprint+total.blue.footprint;total.green.footprint+total.blue.footprint;total.green.footprint+total.blue.footprint
total.green.footprint;;;;;;;;;;sum(diet*greenfplg);sum(diet*greenfplg);sum(diet*greenfplg);sum(diet*greenfplg);sum(diet*greenfplg);sum(diet*greenfplg)
total.blue.footprint;;;;;;;;;;sum(diet*bluefplg);sum(diet*bluefplg);sum(diet*bluefplg);sum(diet*bluefplg);sum(diet*bluefplg);sum(diet*bluefplg)
diet;;;;;;;;;;"c(beverages, cereals, eggs, fish, fruits_vegs, meat, 
milk, oil, oilseeds, roots, spices, stimulants, 
sugar)";"c(beverages, cereals, eggs, fish, fruits_vegs, meat, 
milk, oil, oilseeds, roots, spices, stimulants, 
sugar)";"c(beverages, cereals, eggs, fish, fruits_vegs, meat, 
milk, oil, oilseeds, roots, spices, stimulants, 
sugar)";"c(beverages, cereals, eggs, fish, fruits_vegs, meat, 
milk, oil, oilseeds, roots, spices, stimulants, 
sugar)";"c(beverages, cereals, eggs, fish, fruits_vegs, meat, 
milk, oil, oilseeds, roots, spices, stimulants, 
sugar)";"c(beverages, cereals, eggs, fish, fruits_vegs, meat, 
milk, oil, oilseeds, roots, spices, stimulants, 
sugar)"
greenfplg;;;;;;;;;;c(greenfp_beverages, greenfp_cereals, greenfp_eggs, greenfp_fish, greenfp_fruits_vegs, greenfp_meat, greenfp_milk, greenfp_oil, greenfp_oilseeds, greenfp_roots, greenfp_spices, greenfp_stimulants, greenfp_sugar);c(greenfp_beverages, greenfp_cereals, greenfp_eggs, greenfp_fish, greenfp_fruits_vegs, greenfp_meat, greenfp_milk, greenfp_oil, greenfp_oilseeds, greenfp_roots, greenfp_spices, greenfp_stimulants, greenfp_sugar);c(greenfp_beverages, greenfp_cereals, greenfp_eggs, greenfp_fish, greenfp_fruits_vegs, greenfp_meat, greenfp_milk, greenfp_oil, greenfp_oilseeds, greenfp_roots, greenfp_spices, greenfp_stimulants, greenfp_sugar);c(greenfp_beverages, greenfp_cereals, greenfp_eggs, greenfp_fish, greenfp_fruits_vegs, greenfp_meat, greenfp_milk, greenfp_oil, greenfp_oilseeds, greenfp_roots, greenfp_spices, greenfp_stimulants, greenfp_sugar);c(greenfp_beverages, greenfp_cereals, greenfp_eggs, greenfp_fish, greenfp_fruits_vegs, greenfp_meat, greenfp_milk, greenfp_oil, greenfp_oilseeds, greenfp_roots, greenfp_spices, greenfp_stimulants, greenfp_sugar);c(greenfp_beverages, greenfp_cereals, greenfp_eggs, greenfp_fish, greenfp_fruits_vegs, greenfp_meat, greenfp_milk, greenfp_oil, greenfp_oilseeds, greenfp_roots, greenfp_spices, greenfp_stimulants, greenfp_sugar)
bluefplg;;;;;;;;;;c(bluefp_beverages, bluefp_cereals, bluefp_eggs, bluefp_fish, bluefp_fruits_vegs, bluefp_meat, bluefp_milk, bluefp_oil, bluefp_oilseeds, bluefp_roots, bluefp_spices, bluefp_stimulants, bluefp_sugar);c(bluefp_beverages, bluefp_cereals, bluefp_eggs, bluefp_fish, bluefp_fruits_vegs, bluefp_meat, bluefp_milk, bluefp_oil, bluefp_oilseeds, bluefp_roots, bluefp_spices, bluefp_stimulants, bluefp_sugar);c(bluefp_beverages, bluefp_cereals, bluefp_eggs, bluefp_fish, bluefp_fruits_vegs, bluefp_meat, bluefp_milk, bluefp_oil, bluefp_oilseeds, bluefp_roots, bluefp_spices, bluefp_stimulants, bluefp_sugar);c(bluefp_beverages, bluefp_cereals, bluefp_eggs, bluefp_fish, bluefp_fruits_vegs, bluefp_meat, bluefp_milk, bluefp_oil, bluefp_oilseeds, bluefp_roots, bluefp_spices, bluefp_stimulants, bluefp_sugar);c(bluefp_beverages, bluefp_cereals, bluefp_eggs, bluefp_fish, bluefp_fruits_vegs, bluefp_meat, bluefp_milk, bluefp_oil, bluefp_oilseeds, bluefp_roots, bluefp_spices, bluefp_stimulants, bluefp_sugar);c(bluefp_beverages, bluefp_cereals, bluefp_eggs, bluefp_fish, bluefp_fruits_vegs, bluefp_meat, bluefp_milk, bluefp_oil, bluefp_oilseeds, bluefp_roots, bluefp_spices, bluefp_stimulants, bluefp_sugar)
bluefp_beverages;0;0.000003;0.04622329;0.24;0.4622329;;;;;0.04622329;0.04622329;0.04622329;0.04622329;0.04622329;0.04622329
bluefp_cereals;0;0.0067;0.365280098;0.71;3.65280098;;adjusted down from 1.66;;;0.365280098;0.365280098;0.365280098;0.365280098;0.365280098;0.365280098
bluefp_eggs;0;0.011;0.016598386;0.1;0.16598386;;;;;0.016598386;0.016598386;0.016598386;0.016598386;0.016598386;0.016598386
bluefp_fish;0;0.13;0.19798142;0.13;1.9798142;;;;;0.19798142;0.19798142;0.19798142;0.19798142;0.19798142;0.19798142
bluefp_fruits_vegs;0;0.003;0.131445406;0.32;1.31445406;;;;;0.131445406;0.131445406;0.131445406;0.131445406;0.131445406;0.131445406
bluefp_meat;0;0.061;0.127182534;0.78;1.27182534;;;;;0.127182534;0.127182534;0.127182534;0.127182534;0.127182534;0.127182534
bluefp_milk;0;0.016;0.018233596;0.31;0.18233596;;;;;0.018233596;0.018233596;0.018233596;0.018233596;0.018233596;0.018233596
bluefp_oil;0;0.028;0.373445804;0.52;3.73445804;;;;;0.373445804;0.373445804;0.373445804;0.373445804;0.373445804;0.373445804
bluefp_oilseeds;0;0.033;0.594073058;2.3;5.94073058;;;;;0.594073058;0.594073058;0.594073058;0.594073058;0.594073058;0.594073058
bluefp_roots;0;0.00014;0.008084891;0.061;0.08084891;;;;;0.008084891;0.008084891;0.008084891;0.008084891;0.008084891;0.008084891
bluefp_spices;0;0.053;0.596479092;2;5.96479092;;;;;0.596479092;0.596479092;0.596479092;0.596479092;0.596479092;0.596479092
bluefp_stimulants;0;0.0011;0.186298281;5.1;1.86298281;;;;;0.186298281;0.186298281;0.186298281;0.186298281;0.186298281;0.186298281
bluefp_sugar;0;0.022;0.445739176;0.78;4.45739176;;;;;0.445739176;0.445739176;0.445739176;0.445739176;0.445739176;0.445739176
greenfp_beverages;0;0.046;0.2862846;0.54;2.862846;;;;;0.2862846;0.2862846;0.2862846;0.2862846;0.2862846;0.2862846
