"Variable";"Lower";"Min";"Best";"Max";"Upper";"bestguess";"bounds";"direction";"is.problem";"base";"basin";"injection"
"annual.cash.flow";"";"";"";"";"";"";"";"";"";"benefit-cost";"benefit-cost";"benefit-cost"
"asr.capacity.ml";"100";"100";"600";"1200";"1200";"";"";"";"";"asr.ml";"asr.ml";"asr.ml"
"asr.capital.cost.per.ml";"100";"100";"310";"2000";"2000";"";"";"";"";"310";"310";"310"
"asr.cost.temp.storage.per.ml";"";"";"";"";"";"";"";"";"";"1000";"1000";"1000"
"asr.design.cost";"";"";"";"";"";"";"";"";"";"20000";"20000";"20000"
"asr.loss.rate";"0.1";"0.1";"0.15";"0.25";"0.25";"";"";"";"";"0.15";"0.15";"0.15"
"asr.maintenance.rate";"0.03";"0.03";"0.03";"0.1";"0.1";"";"";"";"";"0.03";"0.03";"0.03"
"asr.ml";"";"";"";"";"";"";"";"";"";"0";"as.numeric(water.available[""surface.regular.license.ml""] + water.available[""supplementary""])";"as.numeric(water.available[""surface.regular.license.ml""] + water.available[""supplementary""])"
"asr.treatment.capital.cost";"";"";"";"";"";"";"";"";"";"50000";"50000";"50000"
"asr.treatment.cost.per.ml";"0";"0";"150";"200";"200";"";"";"";"";"150";"150";"150"
"basin.capital.cost.per.ml";"";"";"";"";"";"";"";"";"";"";"basin.capital.cost.per.ml.at.0.5.m.per.day*0.5/basin.infiltration.rate";"basin.capital.cost.per.ml.at.0.5.m.per.day*0.5/basin.infiltration.rate"
"basin.capital.cost.per.ml.at.0.5.m.per.day";"100";"100";"277";"10000";"10000";"";"";"";"";"277";"277";"277"
"basin.cost.temp.storage.per.ml";"";"";"";"";"";"";"";"";"";"1000";"1000";"1000"
"basin.design.cost";"";"";"";"";"";"";"";"";"";"10000";"10000";"10000"
"basin.infiltration.rate";"0.1";"0.1";"0.5";"2";"2";"";"";"";"";"0.5 #m/day";"0.5 #m/day";"0.5 #m/day"
"basin.maintenance.rate";"0.03";"0.03";"0.03";"0.1";"0.1";"";"";"";"";"0.03";"0.03";"0.03"
"benefit";"";"";"";"";"";"";"";"";"";"sum(net.farm.income)";"sum(net.farm.income)";"sum(net.farm.income)"
"capital.cost";"";"";"";"";"";"";"";"";"";"farm.dam.cost";"basin.design.cost+basin.capital.cost.per.ml*asr.capacity.ml+temporary.storage.cost";"asr.design.cost + asr.capital.cost.per.ml *            asr.capacity.ml + asr.treatment.capital.cost + temporary.storage.cost"
"capture.pump.cost.dollar.per.ml.mar";"";"";"";"";"";"";"";"";"";"";"pump.cost.dollar.per.ml * capture.pump.cost.ratio.mar";"pump.cost.dollar.per.ml * capture.pump.cost.ratio.mar"
"capture.pump.cost.dollar.per.ml.surface";"";"";"";"";"";"";"";"";"";"pump.cost.dollar.per.ml * capture.pump.cost.ratio.surface";"";""
"capture.pump.cost.ratio.mar";"";"";"";"";"";"";"";"";"";"0.6";"0.6";"0.6"
